timestamp,forecast_value,field,unit,model
2026-06-01 04:31:54,-1.4672227e-05,odom_v_linear,m/s,XGBoost
2026-06-01 04:31:55,-2.1684791e-05,odom_v_linear,m/s,XGBoost
2026-06-01 04:31:56,-0.024328792,odom_v_linear,m/s,XGBoost
2026-06-01 04:31:57,-0.024259614,odom_v_linear,m/s,XGBoost
2026-06-01 04:31:58,-0.005079764,odom_v_linear,m/s,XGBoost
2026-06-01 04:31:59,-0.005079764,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:00,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:01,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:02,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:03,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:04,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:05,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:06,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:07,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:08,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:09,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:10,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:11,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:12,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:13,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:14,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:15,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:16,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:17,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:18,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:19,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:20,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:21,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:22,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:23,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:24,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:25,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:26,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:27,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:28,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:29,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:30,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:31,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:32,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:33,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:34,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:35,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:36,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:37,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:38,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:39,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:40,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:41,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:42,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:43,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:44,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:45,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:46,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:47,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:48,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:49,-0.02435664,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:50,-0.005026165,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:51,-0.0050229263,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:52,-0.0243534,odom_v_linear,m/s,XGBoost
2026-06-01 04:32:53,-0.02435664,odom_v_linear,m/s,XGBoost
