#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,long,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,robot,source,batt_charge_remaining_ah,batt_current,batt_energy_consumed_wh,batt_power_draw,batt_soc_percent,batt_soc_status_code,batt_voltage,joint_P_total,joint_load_ratio,joint_omega_L,joint_omega_R,joint_tau_L,joint_tau_R,odom_S_total,odom_accel,odom_delta_t,odom_omega,odom_v_linear
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.596179712Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.616105216Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.019969,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.636076032Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.020011,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.656137984Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.019997,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.67609472Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.020022,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.696169216Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.02001,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.716139776Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.019984,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.736174848Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.019972,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.75632512Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.020037,-0,0
,,0,2026-07-13T18:33:00Z,2026-07-13T18:38:30Z,2026-07-13T18:33:02.776189696Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,3.6073,0,0.019976,-0,0
